item_code,item_description,item_type,total_sales,liquor_type
239464,BARDSTOWN BOURB CO DISCOVERY SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.19,WHISKY
239464,BARDSTOWN BOURB CO DISCOVERY SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.36,WHISKY
239500,BARDSTOWN BOURB CO THE PRISONER KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.36,WHISKY
239500,BARDSTOWN BOURB CO THE PRISONER KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.19,WHISKY
239502,LYON DISTILLING COMPANY COFFEE RUM LIQ - 750ML,LIQUOR,1.53,RUM
239502,LYON DISTILLING COMPANY COFFEE RUM LIQ - 750ML,LIQUOR,0.68,RUM
239504,LYON DISTILLING COMPANY ROCK & RUM - 750ML,LIQUOR,2.03,RUM
239504,LYON DISTILLING COMPANY ROCK & RUM - 750ML,LIQUOR,0.51,RUM
239506,BASIL HAYDEN'S 10YR KY STRAIGHT RYE WHISKEY - 750ML,LIQUOR,13.23,WHISKY
239506,BASIL HAYDEN'S 10YR KY STRAIGHT RYE WHISKEY - 750ML,LIQUOR,7.29,WHISKY
239518,ILEGAL MEZCAL REPOSADO - 750ML,LIQUOR,3.73,MEZCAL
239518,ILEGAL MEZCAL REPOSADO - 750ML,LIQUOR,3.91,MEZCAL
239520,ILEGAL MEZCAL ANEJO - 750ML,LIQUOR,1.53,MEZCAL
239520,ILEGAL MEZCAL ANEJO - 750ML,LIQUOR,1.53,MEZCAL
239530,M S WALKER GRAVES GRAIN ALCOHOL 151PROOF - 1.75L,LIQUOR,6.06,OTHER
239530,M S WALKER GRAVES GRAIN ALCOHOL 151PROOF - 1.75L,LIQUOR,2.53,OTHER
239532,M S WALKER GRAVES GRAIN ALCOHOL 151PROOF - 750ML,LIQUOR,2.84,OTHER
239532,M S WALKER GRAVES GRAIN ALCOHOL 151PROOF - 750ML,LIQUOR,1.38,OTHER
239536,MCCLINTOCK BOOTJACK RYE WHISKEY - 750ML,LIQUOR,0.34,WHISKY
239536,MCCLINTOCK BOOTJACK RYE WHISKEY - 750ML,LIQUOR,4.08,WHISKY
239538,JINRO 24 SOJU - 375ML,LIQUOR,3.35,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,13.87,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,3.63,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,20.17,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,7.93,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,4.3,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,10.9,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,18.18,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,3.63,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,14.55,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,7.6,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,9.28,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,5.29,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,7.29,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,11.9,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,8.59,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,5.94,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,6.93,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,8.6,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,10.62,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,11.25,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,4.95,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,3.96,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,6.61,OTHER
23957,BALVENIE PORTWOOD 21YR SM  - 750ML,LIQUOR,11.27,OTHER
239572,WODKA POLISH RYE VODKA - 1L,LIQUOR,1,VODKA
239600,GREY GOOSE VODKA - 50ML,LIQUOR,2.78,VODKA
239600,GREY GOOSE VODKA - 50ML,LIQUOR,2.59,VODKA
239604,BASIL HAYDEN'S KY STRAIGHT BOURB WHISKEY - 1.75L,LIQUOR,20.03,WHISKY
239604,BASIL HAYDEN'S KY STRAIGHT BOURB WHISKEY - 1.75L,LIQUOR,0.85,WHISKY
239606,COURVOISIER AVANT-GARDE BOURB CASK ED - 750ML,LIQUOR,0.64,OTHER
239606,COURVOISIER AVANT-GARDE BOURB CASK ED - 750ML,LIQUOR,0.24,OTHER
239608,KNOB CREEK 15YR KY STRAIGHT BOURB WHISKEY 100PROOF - 750ML,LIQUOR,6.28,WHISKY
239610,SUNTORY WHISKY TOKI - 1L,LIQUOR,12.69,WHISKY
239610,SUNTORY WHISKY TOKI - 1L,LIQUOR,8.63,WHISKY
239686,OFC VINTAGE BOURBON 1993 - 750ML,LIQUOR,1,WHISKY
239686,OFC VINTAGE BOURBON 1994 - 750ML,LIQUOR,1,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,12.2,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,15.56,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,12.55,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,9.18,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,16.94,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,18.15,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,10.37,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,17.31,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,7.8,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,13.25,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,17.6,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,12.88,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,21.84,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,12.72,WHISKY
239700,ISAAC BOWMAN PORT BARREL FINISHED BOURBON - 750ML,LIQUOR,17.99,WHISKY
239702,MONKEY 47 - 1L,LIQUOR,0.99,OTHER
239702,MONKEY 47 - 1L,LIQUOR,6.29,OTHER
239702,MONKEY 47 - 1L,LIQUOR,6.61,OTHER
239702,MONKEY 47 - 1L,LIQUOR,7.6,OTHER
239702,MONKEY 47 - 1L,LIQUOR,12.62,OTHER
239702,MONKEY 47 - 1L,LIQUOR,4.96,OTHER
239702,MONKEY 47 - 1L,LIQUOR,7.96,OTHER
239702,MONKEY 47 - 1L,LIQUOR,10.91,OTHER
239702,MONKEY 47 - 1L,LIQUOR,9.61,OTHER
239702,MONKEY 47 - 1L,LIQUOR,9.6,OTHER
239702,MONKEY 47 - 1L,LIQUOR,10.24,OTHER
239702,MONKEY 47 - 1L,LIQUOR,6.61,OTHER
239702,MONKEY 47 - 1L,LIQUOR,17.5,OTHER
239702,MONKEY 47 - 1L,LIQUOR,19.15,OTHER
